id,name,district,term_start,term_end,party,clean_name,stream
G000093,Elizabeth Gasque,South Carolina's 6th,1938-09-13,1939-01-03,Democratic,elizabethhawleygasque,6
S001071,Jessie Sumner,Illinois's 18th,1939-01-03,1947-01-03,Republican,jessiesumner,1
M000565,Clara G. McMillan,South Carolina's 1st,1939-11-07,1941-01-03,Democratic,claragmcmillan,4
B000607,Frances P. Bolton,Ohio's 22nd,1940-02-27,1969-01-03,Republican,francespbolton,6
S000590,Margaret C. Smith,Maine's 2nd,1940-06-03,1949-01-03,Republican,margaretchasesmith,7
G000155,Florence Gibbs,Georgia's 8th,1940-10-01,1941-01-03,Democratic,florencerevillegibbs,8
R000055,Jeannette Rankin,Montana's 1st,1941-01-03,1943-01-03,Republican,jeannetterankin,4
B001222,Katharine Byron,Maryland's 6th,1941-05-27,1943-01-03,Democratic,katharinebyron,8
B000602,Veronica Boland,Pennsylvania's 11th,1942-11-03,1943-01-03,Democratic,veronicagraceboland,9
L000497,Clare Luce,Connecticut's 4th,1943-01-03,1947-01-03,Republican,clarebootheluce,2
S000798,Winifred C. Stanley,New York at-large,1943-01-03,1945-01-03,Republican,winifredcstanley,4
F000418,Willa L. Fulmer,South Carolina's 2nd,1944-11-07,1945-01-03,Democratic,willalfulmer,8
D000454,Helen Gahagan-Douglas,California's 14th,1945-01-03,1951-01-03,Democratic,helengahagandouglas,4
W000714,Chase G. Woodhouse,Connecticut's 2nd,1945-01-03,1947-01-03,Democratic,chasegwoodhouse,8
D000452,Emily Douglas,Illinois at-large,1945-01-03,1947-01-03,Democratic,emilytaftdouglas,9
M000097,Helen Mankin,Georgia's 5th,1946-02-12,1947-01-03,Democratic,helendouglasmankin,10
P000498,Eliza Pratt,North Carolina's 8th,1946-05-25,1947-01-03,Democratic,elizajanepratt,11
L000519,Georgia Lusk,New Mexico at-large,1947-01-03,1949-01-03,Democratic,georgialeelusk,1
S000764,Katharine St. George,New York's 29th,1947-01-03,1953-01-03,Republican,katharinestgeorge,2
W000714,Chase G. Woodhouse,Connecticut's 2nd,1949-01-03,1951-01-03,Democratic,chasegwoodhouse,1
B000649,Reva Bosone,Utah's 2nd,1949-01-03,1953-01-03,Democratic,revabeckbosone,7
H000182,Cecil M. Harden,Indiana's 6th,1949-01-03,1959-01-03,Republican,cecilmharden,8
K000070,Edna F. Kelly,New York's 10th,1949-11-08,1963-01-03,Democratic,ednafkelly,9
C000389,Marguerite S. Church,Illinois's 13th,1951-01-03,1963-01-03,Republican,margueriteschurch,1
T000216,Ruth Thompson,Michigan's 9th,1951-01-03,1957-01-03,Republican,ruththompson,4
